item_id,title,category,description,price,image_url
026253892X,Beautiful Symmetry: A Coloring Book about Math (The MIT Press),ABIS_BOOK,,17.59,
1487003609,Unstable Neighbourhood Rabbit,ABIS_BOOK,,21.74,
1568812205,The Symmetries of Things,ABIS_BOOK,,61.28,
1615193677,Visions of the Universe: A Coloring Journey Through Math’s Great Mysteries,ABIS_BOOK,,9.48,
465026850,"Godel, Escher, Bach: An Eternal Golden Braid",ABIS_BOOK,,25.38,
8484436403,Aula internacional 1 A Spanish course for English Speakers,ABIS_BOOK,,70.9,
B000BS05Z6,Coghlan's Backpacker's Trowel,SHOVEL_SPADE,,5.02,
B000F7ASAU,"Prang (Formerly SunWorks) Construction Paper, Black, 12"" x 18"", 50 Sheets",ART_MEDIA_PAPER,,3.59,
B000TZQXXO,Sival - 35 Light 13.5' Green Wire Red Chili Pepper String,STRING_LIGHT,,15.95,
B000YM9MM6,Speedo Women's Swimsuit One Piece Endurance+ Flyback Block Adult Team Colors,SWIMWEAR,,34.52,
B001PQREKM,"McCormick Ground Cinnamon, 18 oz",HERB,,6.39,
B0028G9OD8,The Spice Lab Black Lava Sea Salt - Real Hawaiian Black Lava Salt - Medium Grain (6 oz Bag) - OU Kosher Gluten-Free Non-GMO Gourmet Salt - Authentic Hawaiian Black Salt,CULINARY_SALT,,6.95,
B0036E0Y5I,Nike Women's Victory Compression Sports Bra,BRA,,35.0,
B004HK7NTA,"Silk Shelf-Stable Organic Soy Milk, Unsweetened, Dairy-Free, Vegan, Non-GMO Project Verified,32 Fl Oz(Pack of 6)",MILK_SUBSTITUTE,,12.49,
B004N59OFU,"Repel Lemon Eucalyptus Natural Mosquito Repellent, 4-Ounce Pump Spray, 1 count",INSECT_REPELLENT,,4.97,
B004ZDMNUI,"McCormick All Natural Pure Vanilla Extract, 4 fl oz",CONCENTRATED_FLAVORING_SUBSTANCE,,7.64,
B00558RHB2,"Kikkoman - Traditionally Brewed Soy Sauce, Organic Soy Sauce, All Purpose Seasoning, No Added Preservatives - 1 Gallon (Pack of 1)",SAUCE,,27.019999999999996,
B005IHMXEQ,"Reach Waxed Dental Floss | Effective Plaque Removal, Extra Wide Cleaning Surface | Shred Resistance & Tension, Slides Smoothly & Easily, PFAS FREE | Unflavored, 55 Yards, 1 Pack",DENTAL_FLOSS,,4.04,
B0077BXZJI,"Herschel Settlement Backpack, Blk, Mid-Volume 17.0L",BACKPACK,,44.0,
B0077BYLKK,"Herschel Settlement Backpack, Blk, Classic 23.0L",BACKPACK,,35.1,
B007SYSQ7K,"Garden of Life Raw Organic Plant Based Protein Powder, Chocolate - Vegan Protein Shake with BCAAs, Probiotics & Digestive Enzymes - No Soy, Dairy, Lactose or Gluten, Sugar Free - 20 Servings",PROTEIN_SUPPLEMENT_POWDER,,33.59,
